;Jandaia;Cumaru
320;4.037;144.98
321;11.16;152.86
322;26.821;168.546
323;27.149;167.18
324;18.161;163.922
325;14.577;122.014
326;14.595;126.998
327;21.033;117.184
328;22.774;74.837
329;23.93;81.997
330;22.648;122.65
331;38.946;113.103
332;51.785;148.67
333;51.01;181.932
334;90.033;190.112
335;98.444;189.048
336;100.699;193.858
337;96.243;188.019
338;82.104;193.424
339;58.462;188.686
340;41.762;181.454
341;28.978;191.022
342;47.176;188.558
343;58.229;182.416
344;29.953;162.632
345;29.724;154.141
346;49.439;145.164
347;35.403;173.806
348;23.157;172.778
349;15.855;168.223
350;24.3;170.194
351;29.249;168.876
352;34.107;172.661
353;25.683;176.163
354;40.221;170.154
355;52.496;158.617
356;36.06;172.213
357;64.202;182.414
358;110.002;193.368
359;110.669;179.692
360;102.967;179.36
361;102.729;192.786
362;85.508;157.034
363;71.788;135.42
364;62.745;191.671
365;35.549;191.176
366;35.559;176.115
367;36.047;141.869
368;22.62;136.04
369;46.015;158.209
370;60.19;174.952
371;32.762;169.181
372;21.238;167.302
373;26.126;173.505
374;41.525;168.834
375;49.813;165.93
376;58.885;166.538
377;65.783;130.326
378;78.24;122.66
379;74.813;131.558
380;80.81;95.619
381;103.604;135.385
382;116.305;161.472
383;116.541;133.177
384;117.596;159.838
385;107.686;159.677
386;93.951;166.493
387;90.345;165.518
388;85.287;149.306
389;74.248;162.336
390;88.094;167.578
391;74.973;153.546
392;50.016;69.619
393;71.489;77.808
394;63.614;57.555
395;27.915;51.247
396;29.531;51.218
397;34.703;99.088
398;38.545;135.706
399;49.399;166.551
400;62.073;160.55
401;75.482;139.248
402;72.985;186.318
403;100.811;161.706
404;114.86;191.516
405;116.96;191.875
406;118.704;191.286
407;114.598;191.041
408;102.615;185.08
409;95.356;186.701
410;78.549;177.864
411;74.689;186.218
412;58.722;196.996
413;52.29;194.242
414;56.98;159.8
415;27.085;175.947
416;13.288;170.684
417;38.945;177.288
418;35.036;171.342
419;30.387;158.718
420;24.067;153.401
421;28.743;145.166
422;47.309;145.122
423;45.367;155.86
424;60.618;157.558
425;53.166;144.448
426;45.369;147.726
427;44.888;129.282
428;61.627;146.666
429;90.633;175.057
430;110.321;186.222
431;97.774;192.57
432;82.143;193.836
433;62.705;194.302
434;50.415;192.426
435;46.325;182.591
436;50.888;189.96
437;37.769;181.786
438;43.329;192.556
439;53.408;193.201
440;20.255;174.503
441;20.506;183.12
442;17.216;175.705
443;18.822;166.734
444;11.975;146.974
445;17.625;127.298
446;21.612;107.672
447;27.278;98.706
448;26.187;123.362
449;29.126;169.171
450;35.146;179.738
451;40.208;186.266
452;42.461;176.761
453;62.857;166.265
454;77.912;171.824
455;93.167;185.644
456;94.66;191.328
457;95.163;193.206
458;91.032;194.922
459;75.467;197.184
460;63.583;191.24
461;60.313;194.216
462;31.504;196.022
463;23.911;191.46
464;19.498;188.934
465;14.445;189.539
466;13.553;192.836
467;6.175;187.37
468;14.861;171.844
469;15.197;140.884
470;19.084;123.766
471;23.687;123.926
472;23.086;150.202
473;29.31;180.872
474;37.158;192.877
475;42.491;192.068
476;46.623;192.825
477;74.562;191.726
478;88.569;194.524
479;92.979;187.204
480;94.373;186.91
481;92.822;189.526
482;86.58;189.731
483;61.207;190.317
484;38.915;188.264
485;31.922;189.864
486;50.619;190.415
487;36.407;191.586
488;22.212;177.289
489;31.563;170.392
490;26.574;175.382
491;26.815;163.247
492;17.247;147.15
493;17.524;124.334
494;23.436;110.942
495;24.629;118.253
496;30.214;164.704
497;37.979;158.261
498;48.932;160.938
499;58.305;176.335
